Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Ttll4	ENSMUST00000042125.9	tubulin tyrosine ligase-like family, member 4 	651	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p	-1.36	-1.56	> 0.99	2005, 2007, 2009, 2011
Lin28b	ENSMUST00000079390.6	lin-28 homolog B (C. elegans) 	191	5	1	3	1	0	0	0	0	0	mmu-let-7i-5p	-1.34	-1.52	> 0.99	2005, 2007, 2009, 2011
Sec14l5	ENSMUST00000165810.1	SEC14-like 5 (S. cerevisiae) 	346	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-1.31	-1.34	0.72	
Onecut2	ENSMUST00000175965.3	one cut domain, family member 2 	387	3	1	0	2	0	0	0	0	2	mmu-let-7d-5p	-1.26	-1.80	> 0.99	2007, 2009, 2011
Fign	ENSMUST00000131615.3	fidgetin 	56	6	3	0	3	0	0	0	0	0	mmu-let-7d-5p	-1.23	-2.02	> 0.99	2007, 2009, 2011
Vstm5	ENSMUST00000034413.6	V-set and transmembrane domain containing 5 	15	2	2	0	0	1	0	0	1	0	mmu-let-7d-5p	-1.23	-1.23	> 0.99	2009, 2011
Arid3a	ENSMUST00000019708.6	AT rich interactive domain 3A (BRIGHT-like) 	411	3	1	1	1	1	0	0	1	0	mmu-let-7d-5p	-1.17	-1.20	> 0.99	2007, 2009, 2011
Agxt2	ENSMUST00000110542.2	alanine-glyoxylate aminotransferase 2 	2191	1	1	0	0	2	0	2	0	1	mmu-let-7d-5p	-1.16	-2.29	< 0.1	2005, 2007
Rgag1	ENSMUST00000165829.2	retrotransposon gag domain containing 1 	4	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-1.15	-1.15	0.72	2005, 2007
Rab11fip4	ENSMUST00000017783.7	RAB11 family interacting protein 4 (class II) 	123	1	0	1	0	1	0	1	0	1	mmu-let-7i-5p	-1.13	-1.15	0.87	2005, 2007, 2009, 2011
Fignl2	ENSMUST00000178140.1	fidgetin-like 2 	173	3	3	0	0	0	0	0	0	0	mmu-let-7d-5p	-1.13	-1.14	> 0.99	2007, 2011
Dvl3	ENSMUST00000171572.2	dishevelled 3, dsh homolog (Drosophila) 	425	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-1.12	-1.14	0.67	2005, 2007
Mxd1	ENSMUST00000001184.7	MAX dimerization protein 1 	98	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-1.08	-1.08	0.97	2007, 2009, 2011
Adrb3	ENSMUST00000081438.4	adrenergic receptor, beta 3 	166	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p	-1.07	-1.08	> 0.99	2005, 2007, 2009, 2011
Igdcc3	ENSMUST00000034961.4	immunoglobulin superfamily, DCC subclass, member 3 	158	3	3	0	0	1	0	1	0	0	mmu-let-7d-5p	-1.05	-1.06	> 0.99	2007, 2009, 2011
Lin28a	ENSMUST00000051674.2	lin-28 homolog A (C. elegans) 	1253	2	2	0	0	0	0	0	0	0	mmu-let-7i-5p	-1.03	-1.03	> 0.99	2007, 2009, 2011
Dmd	ENSMUST00000114000.2	dystrophin, muscular dystrophy 	424	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-1.01	-1.28	0.98	2005, 2007, 2009, 2011
Cdc34	ENSMUST00000020550.6	cell division cycle 34 	269	2	1	0	1	0	0	0	0	0	mmu-let-7g-5p	-1.00	-1.01	> 0.99	2005, 2007, 2009, 2011
Hic2	ENSMUST00000090190.6	hypermethylated in cancer 2 	70	4	1	3	0	1	0	0	1	0	mmu-let-7d-5p	-0.99	-1.03	> 0.99	2005, 2007, 2009, 2011
Gpr45	ENSMUST00000179766.2	G protein-coupled receptor 45 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.99	-0.99	0.95	2009, 2011
Arsi	ENSMUST00000040359.5	arylsulfatase i 	137	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.97	-0.97	0.63	
Galm	ENSMUST00000039205.5	galactose mutarotase 	674	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.96	-1.06	< 0.1	2009, 2011
St6gal1	ENSMUST00000178797.2	beta galactoside alpha 2,6 sialyltransferase 1 	313	1	1	0	0	0	0	0	0	0	mmu-let-7f-5p	-0.95	-0.96	0.38	2005, 2007, 2009, 2011
Syncrip	ENSMUST00000174391.2	synaptotagmin binding, cytoplasmic RNA interacting protein 	2608	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.92	-1.04	0.97	2009, 2011
Trabd	ENSMUST00000081702.6	TraB domain containing 	496	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.91	-1.12	0.88	2007, 2009, 2011
Rrm2	ENSMUST00000020980.6	ribonucleotide reductase M2 	965	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.86	-1.22	0.90	2005, 2007, 2009, 2011
Clcn5	ENSMUST00000004428.8	chloride channel 5 	504	3	1	1	1	3	0	0	3	1	mmu-let-7d-5p	-0.86	-0.97	> 0.99	2007
Il10	ENSMUST00000016673.5	interleukin 10 	10	1	0	0	1	0	0	0	0	2	mmu-let-7d-5p	-0.85	-0.85	0.93	2005, 2007, 2009, 2011
Lcor	ENSMUST00000067795.6	ligand dependent nuclear receptor corepressor 	127	2	0	0	2	0	0	0	0	1	mmu-let-7d-5p	-0.85	-0.99	0.96	2007, 2009, 2011
Gm527	ENSMUST00000058135.4	predicted gene 527 	90	2	1	1	0	1	0	0	1	0	mmu-miR-98-5p	-0.85	-1.24	0.98	
Pbx2	ENSMUST00000038149.7	pre B cell leukemia homeobox 2 	828	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p	-0.85	-1.13	> 0.99	2005, 2007, 2009, 2011
Cdc34-ps	ENSMUST00000188741.1	cell division cycle 34 homolog, pseudogene (S. cerevisiae) 	5	1	1	0	0	1	0	0	1	0	mmu-let-7g-5p	-0.84	-0.84	0.23	
Stx3	ENSMUST00000069285.4	syntaxin 3 	212	1	1	0	0	1	0	0	1	2	mmu-let-7d-5p	-0.84	-0.86	0.96	2007, 2009, 2011
Tmem198b	ENSMUST00000051011.8	transmembrane protein 198b 	35	2	0	2	0	1	0	1	0	0	mmu-let-7c-5p	-0.83	-0.89	0.98	2009, 2011
Igf1r	ENSMUST00000005671.8	insulin-like growth factor I receptor 	2095	3	1	1	1	0	0	0	0	0	mmu-let-7b-5p	-0.83	-0.87	> 0.99	2005, 2007, 2009, 2011
Zswim5	ENSMUST00000044823.3	zinc finger SWIM-type containing 5 	194	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.83	-1.16	0.79	2009, 2011
Yod1	ENSMUST00000049813.5	YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae) 	447	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p	-0.83	-0.84	> 0.99	2007, 2009, 2011
Zc3hav1l	ENSMUST00000058524.2	zinc finger CCCH-type, antiviral 1-like 	144	2	2	0	0	2	0	1	1	1	mmu-let-7d-5p	-0.83	-1.04	0.99	2009, 2011
Znf512b	ENSMUST00000108789.3	zinc finger protein 512B 	280	3	0	3	0	0	0	0	0	0	mmu-let-7f-5p	-0.82	-0.83	> 0.99	2011
Bzw1	ENSMUST00000050552.9	basic leucine zipper and W2 domains 1 	3021	2	0	2	0	0	0	0	0	0	mmu-let-7a-5p	-0.80	-0.80	> 0.99	2005, 2007, 2009, 2011
Hand1	ENSMUST00000160392.3	heart and neural crest derivatives expressed transcript 1 	5	1	1	0	0	0	0	0	0	1	mmu-let-7k	-0.79	-0.79	0.98	2005, 2007, 2009, 2011
Skil	ENSMUST00000118470.2	SKI-like 	1628	3	1	0	2	0	0	0	0	0	mmu-let-7d-5p	-0.78	-0.94	> 0.99	2009, 2011
Olfr406	ENSMUST00000133561.4	olfactory receptor 406 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.78	-0.78	< 0.1	
Ccr7	ENSMUST00000103134.3	chemokine (C-C motif) receptor 7 	8	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.78	-0.78	0.90	2005, 2007, 2009, 2011
Cd200r1	ENSMUST00000057488.9	CD200 receptor 1 	73	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.75	-0.87	0.97	2005, 2009, 2011
Myo1f	ENSMUST00000087605.6	myosin IF 	86	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p	-0.75	-0.76	0.87	2005, 2007, 2009, 2011
Gng5	ENSMUST00000118280.1	guanine nucleotide binding protein (G protein), gamma 5 	187	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.74	-0.74	0.95	2005, 2007, 2009, 2011
Srgap1	ENSMUST00000020322.6	SLIT-ROBO Rho GTPase activating protein 1 	109	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.74	-1.17	0.66	2011
Cldn12	ENSMUST00000179804.2	claudin 12 	308	1	1	0	0	1	0	1	0	0	mmu-let-7f-5p	-0.73	-0.75	0.95	2005, 2007, 2009, 2011
Zbtb16	ENSMUST00000093852.3	zinc finger and BTB domain containing 16 	1034	3	1	1	1	0	0	0	0	0	mmu-let-7g-5p	-0.73	-0.74	> 0.99	2009, 2011
Pbx3	ENSMUST00000113132.3	pre B cell leukemia homeobox 3 	691	2	0	1	1	0	0	0	0	1	mmu-let-7b-5p	-0.73	-0.73	> 0.99	2005, 2007, 2009, 2011
Gan	ENSMUST00000064488.5	giant axonal neuropathy 	541	3	2	0	1	0	0	0	0	2	mmu-let-7d-5p	-0.73	-0.81	> 0.99	2005, 2007
Gpatch3	ENSMUST00000030662.2	G patch domain containing 3 	174	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.72	-0.72	0.94	2007, 2009, 2011
Hoxb1	ENSMUST00000019117.2	homeobox B1 	5	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.72	-0.72	0.97	2011
Ccnd2	ENSMUST00000000188.8	cyclin D2 	9744	3	0	0	3	0	0	0	0	0	mmu-let-7d-5p	-0.71	-0.71	> 0.99	2005, 2007, 2009, 2011
Adamts8	ENSMUST00000068135.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8 	669	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.71	-0.71	0.98	2007, 2009, 2011
Dtx2	ENSMUST00000111142.3	deltex 2 homolog (Drosophila) 	308	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.70	-0.70	0.91	2005, 2007, 2009, 2011
Ngf	ENSMUST00000106925.3	nerve growth factor 	1496	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.70	-0.70	0.98	2007, 2009, 2011
Fam83g	ENSMUST00000093019.5	family with sequence similarity 83, member G 	123	1	1	0	0	1	1	0	0	1	mmu-let-7d-5p	-0.69	-0.78	0.14	2011
Tmprss11f	ENSMUST00000116553.3	transmembrane protease, serine 11f 	7	2	2	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.68	-0.98	0.93	2005, 2007, 2009, 2011
Lipt2	ENSMUST00000032967.3	lipoyl(octanoyl) transferase 2 (putative) 	71	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.67	-0.87	0.75	2009, 2011
Gatm	ENSMUST00000028624.8	glycine amidinotransferase (L-arginine:glycine amidinotransferase) 	2478	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p	-0.67	-0.67	0.92	2005, 2007, 2009, 2011
Arid3c	ENSMUST00000171251.2	AT rich interactive domain 3C (BRIGHT-like) 	10	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.67	-0.67	0.92	2009, 2011
Arl4d	ENSMUST00000039388.2	ADP-ribosylation factor-like 4D 	506	1	0	1	0	1	0	1	0	0	mmu-let-7e-5p	-0.66	-0.66	0.90	2007, 2009, 2011
Slc35d2	ENSMUST00000099441.4	solute carrier family 35, member D2 	403	1	1	0	0	0	0	0	0	0	mmu-miR-98-5p	-0.66	-0.66	0.98	2005, 2007, 2009, 2011
Tecpr2	ENSMUST00000169597.2	tectonin beta-propeller repeat containing 2 	417	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p	-0.66	-0.67	0.94	2007, 2009, 2011
Fbxl12	ENSMUST00000131128.1	F-box and leucine-rich repeat protein 12 	44	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.66	-0.66	0.91	2005, 2007, 2009, 2011
Foxp2	ENSMUST00000115477.2	forkhead box P2 	105	3	0	2	1	0	0	0	0	1	mmu-let-7g-5p	-0.66	-0.85	> 0.99	2009, 2011
Snx30	ENSMUST00000030080.6	sorting nexin family member 30 	277	2	0	1	1	1	0	0	1	1	mmu-let-7d-5p	-0.66	-0.74	> 0.99	2009, 2011
Bach1	ENSMUST00000026703.5	BTB and CNC homology 1 	993	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.66	-0.66	> 0.99	2005, 2007, 2009, 2011
Ptafr	ENSMUST00000070690.7	platelet-activating factor receptor 	81	2	1	1	0	2	1	1	0	0	mmu-let-7f-5p	-0.66	-0.71	0.91	
Ap1s1	ENSMUST00000111080.2	adaptor protein complex AP-1, sigma 1 	1285	1	0	1	0	1	0	1	0	0	mmu-let-7g-5p	-0.65	-0.66	0.60	2005, 2007, 2009, 2011
Pla2g3	ENSMUST00000064265.7	phospholipase A2, group III 	8	1	1	0	0	1	0	1	0	0	mmu-let-7b-5p	-0.65	-0.65	0.67	2005, 2007, 2009, 2011
Diap2	ENSMUST00000113320.2	diaphanous homolog 2 (Drosophila) 	549	2	0	2	0	1	0	1	0	0	mmu-let-7g-5p	-0.65	-0.67	0.95	2005, 2007, 2011
Coil	ENSMUST00000036649.5	coilin 	76	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.64	-0.64	0.92	2005, 2007, 2009, 2011
Psors1c2	ENSMUST00000025273.8	psoriasis susceptibility 1 candidate 2 (human) 	19	1	1	0	0	0	0	0	0	0	mmu-let-7i-5p	-0.64	-0.64	0.39	2005, 2007, 2009, 2011
Prkar2a	ENSMUST00000035220.6	protein kinase, cAMP dependent regulatory, type II alpha 	4700	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.64	-0.65	0.98	
Qars	ENSMUST00000134939.2	glutaminyl-tRNA synthetase 	1285	1	1	0	0	2	0	0	2	0	mmu-let-7e-5p	-0.64	-0.65	0.17	2005, 2007, 2009, 2011
Gdf6	ENSMUST00000057613.2	growth differentiation factor 6 	26	1	1	0	0	1	0	1	0	0	mmu-let-7i-5p	-0.64	-0.68	0.98	2005, 2007, 2009, 2011
Mycn	ENSMUST00000043396.8	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian) 	232	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p	-0.64	-0.66	> 0.99	2005, 2007, 2009, 2011
Adamts12	ENSMUST00000061318.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12 	155	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.63	-0.64	0.94	2009, 2011
Xrn1	ENSMUST00000185633.1	5'-3' exoribonuclease 1 	949	1	0	0	1	1	0	0	1	0	mmu-let-7g-5p	-0.62	-0.64	0.86	2005, 2007, 2009, 2011
Bcl7c	ENSMUST00000106282.2	B cell CLL/lymphoma 7C 	163	1	1	0	0	1	0	1	0	1	mmu-let-7f-5p	-0.62	-0.63	0.36	
Cep85l	ENSMUST00000095691.5	centrosomal protein 85-like 	76	1	0	0	1	0	0	0	0	2	mmu-let-7d-5p	-0.62	-0.66	0.94	
March9	ENSMUST00000040307.5	membrane-associated ring finger (C3HC4) 9 	113	2	1	0	1	1	1	0	0	0	mmu-let-7d-5p	-0.62	-0.84	0.98	2005, 2007, 2009, 2011
Sall4	ENSMUST00000075044.4	sal-like 4 (Drosophila) 	337	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.62	-0.62	0.98	2009, 2011
Thrsp	ENSMUST00000043077.7	thyroid hormone responsive 	636	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.62	-0.63	0.38	2009, 2011
Cry2	ENSMUST00000090559.6	cryptochrome 2 (photolyase-like) 	566	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.61	-0.61	0.91	2005, 2007, 2009, 2011
Fasl	ENSMUST00000000834.2	Fas ligand (TNF superfamily, member 6) 	11	1	1	0	0	0	0	0	0	1	mmu-miR-98-5p	-0.61	-0.61	0.96	2009, 2011
Kctd17	ENSMUST00000166142.3	potassium channel tetramerisation domain containing 17 	1711	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.60	-0.60	0.77	2005, 2007, 2009, 2011
Bend4	ENSMUST00000169190.1	BEN domain containing 4 	1357	2	0	1	1	0	0	0	0	1	mmu-miR-98-5p	-0.60	-0.60	> 0.99	2011
Lrig2	ENSMUST00000046316.6	leucine-rich repeats and immunoglobulin-like domains 2 	154	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-0.60	-0.69	0.98	2005, 2007, 2009, 2011
Pqlc2	ENSMUST00000053862.6	PQ loop repeat containing 2 	445	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p	-0.60	-0.64	0.91	2007, 2009, 2011
Pdpr	ENSMUST00000039333.4	pyruvate dehydrogenase phosphatase regulatory subunit 	831	1	1	0	0	2	1	1	0	2	mmu-let-7d-5p	-0.60	-0.61	0.98	2005, 2007
Mfsd4	ENSMUST00000046658.4	major facilitator superfamily domain containing 4 	23	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	-0.60	-0.60	0.96	2009, 2011
Prtg	ENSMUST00000055535.8	protogenin homolog (Gallus gallus) 	11	2	1	1	0	2	0	0	2	0	mmu-let-7d-5p	-0.59	-0.59	> 0.99	2007, 2009, 2011
Uhrf2	ENSMUST00000025739.8	ubiquitin-like, containing PHD and RING finger domains 2 	671	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.59	-0.59	0.96	2005, 2007, 2009, 2011
Il13	ENSMUST00000020650.1	interleukin 13 	5	1	1	0	0	0	0	0	0	0	mmu-let-7a-5p	-0.59	-0.59	0.96	2005, 2007, 2009, 2011
Slc25a18	ENSMUST00000112682.2	solute carrier family 25 (mitochondrial carrier), member 18 	19	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.59	-0.59	0.80	2005, 2007, 2009, 2011
Masp1	ENSMUST00000089883.5	mannan-binding lectin serine peptidase 1 	457	1	1	0	0	2	0	1	1	0	mmu-let-7d-5p	-0.59	-0.63	0.88	2005, 2007, 2009, 2011
Tgds	ENSMUST00000022727.8	TDP-glucose 4,6-dehydratase 	282	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	-0.59	-0.60	0.96	2005, 2007, 2009, 2011
Gga3	ENSMUST00000019135.8	golgi associated, gamma adaptin ear containing, ARF binding protein 3 	191	1	0	1	0	1	0	1	0	2	mmu-let-7f-5p	-0.58	-0.63	0.88	2005, 2007, 2009, 2011
Mycs	ENSMUST00000058404.4	myc-like oncogene, s-myc protein 	5	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p	-0.58	-0.58	0.84	2011
Zcchc3	ENSMUST00000099207.4	zinc finger, CCHC domain containing 3 	6	1	0	1	0	1	0	1	0	0	mmu-let-7a-5p	-0.58	-0.58	0.76	2005, 2007, 2009, 2011
Xkr8	ENSMUST00000045550.4	X Kell blood group precursor related family member 8 homolog 	96	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.58	-0.58	0.96	2005, 2007, 2009, 2011
Lalba	ENSMUST00000023726.3	lactalbumin, alpha 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.58	-0.58	0.51	2005, 2007, 2009, 2011
Nkap	ENSMUST00000016553.4	NFKB activating protein 	757	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p	-0.58	-0.60	0.56	2009, 2011
Cpeb2	ENSMUST00000169035.2	cytoplasmic polyadenylation element binding protein 2 	1473	2	0	0	2	1	0	1	0	0	mmu-let-7d-5p	-0.58	-0.58	> 0.99	2005, 2007, 2011
Grid2ip	ENSMUST00000120825.1	glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1 	5	1	1	0	0	1	0	1	0	0	mmu-let-7b-5p	-0.58	-0.58	0.94	2009, 2011
Crct1	ENSMUST00000029521.4	cysteine-rich C-terminal 1 	5	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p	-0.58	-0.58	0.65	2007, 2009, 2011
Hoxa9	ENSMUST00000114425.2	homeobox A9 	245	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p	-0.57	-0.65	0.86	2005, 2007
Klhl6	ENSMUST00000058839.8	kelch-like 6 	141	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.56	-0.56	0.91	2007, 2009, 2011
B3gnt1	ENSMUST00000053705.6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 	1998	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.56	-0.56	0.74	2007, 2009, 2011
Mib1	ENSMUST00000052838.5	mindbomb homolog 1 (Drosophila) 	2465	2	0	2	0	0	0	0	0	0	mmu-let-7d-5p	-0.56	-0.60	0.99	2007
Smim3	ENSMUST00000042710.6	small integral membrane protein 3 	254	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.56	-0.56	0.88	2007, 2009, 2011
Hoxa1	ENSMUST00000120363.1	homeobox A1 	90	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p	-0.56	-0.56	ORF	2005
Zfp710	ENSMUST00000166250.2	zinc finger protein 710 	107	2	0	2	0	0	0	0	0	1	mmu-let-7i-5p	-0.56	-0.58	> 0.99	2009, 2011
Ikbkap	ENSMUST00000030140.2	inhibitor of kappa light polypeptide enhancer in B cells, kinase complex-associated protein 	4812	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-0.55	-0.72	0.83	2005, 2007, 2009, 2011
Galnt1	ENSMUST00000000430.8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 	1815	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p	-0.55	-0.55	> 0.99	2005, 2007, 2009, 2011
Adamts15	ENSMUST00000065112.6	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15 	17	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.55	-0.55	> 0.99	2009, 2011
Acvr1c	ENSMUST00000028178.8	activin A receptor, type IC 	173	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-0.55	-0.57	0.98	2005, 2007, 2009, 2011
Gale	ENSMUST00000102541.4	galactose-4-epimerase, UDP 	140	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.55	-0.55	0.72	2005, 2007, 2009, 2011
Stx17	ENSMUST00000107720.3	syntaxin 17 	664	1	1	0	0	1	1	0	0	1	mmu-let-7d-5p	-0.55	-0.73	0.89	2005, 2007, 2009, 2011
Tmed5	ENSMUST00000119437.2	transmembrane emp24 protein transport domain containing 5 	963	1	0	1	0	1	1	0	0	1	mmu-let-7f-5p	-0.55	-0.65	0.71	2005, 2007, 2009, 2011
Lrig3	ENSMUST00000074807.6	leucine-rich repeats and immunoglobulin-like domains 3 	164	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.55	-0.55	0.94	2005, 2007, 2009, 2011
Fndc3a	ENSMUST00000089017.6	fibronectin type III domain containing 3A 	1154	2	0	1	1	0	0	0	0	1	mmu-let-7f-5p	-0.55	-0.58	> 0.99	2005, 2007, 2009, 2011
Ppapdc1b	ENSMUST00000139836.2	phosphatidic acid phosphatase type 2 domain containing 1B 	492	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.55	-0.55	0.79	2009, 2011
Trim67	ENSMUST00000041106.7	tripartite motif-containing 67 	59	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.55	-0.97	0.88	2005, 2007, 2011
Map4k3	ENSMUST00000112389.3	mitogen-activated protein kinase kinase kinase kinase 3 	503	1	1	0	0	0	0	0	0	0	mmu-miR-98-5p	-0.55	-0.57	0.97	2005, 2007, 2009, 2011
E2f5	ENSMUST00000029069.7	E2F transcription factor 5 	448	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p	-0.54	-0.54	0.93	2005, 2007, 2009, 2011
Prdm5	ENSMUST00000172638.1	PR domain containing 5 	50	1	1	0	0	0	0	0	0	0	mmu-let-7a-5p	-0.54	-0.54	ORF	
Plekhg6	ENSMUST00000042647.6	pleckstrin homology domain containing, family G (with RhoGef domain) member 6 	75	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	-0.54	-0.54	0.81	2005, 2007, 2009, 2011
Tgfbr1	ENSMUST00000007757.9	transforming growth factor, beta receptor I 	1724	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p	-0.54	-0.54	0.98	2005, 2007, 2009, 2011
Rgs16	ENSMUST00000027748.7	regulator of G-protein signaling 16 	49	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p	-0.54	-0.54	0.91	2005, 2007, 2009, 2011
