Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Abhd4	ENSMUST00000180359.2	abhydrolase domain containing 4 	652	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.67	-0.67	0.76	2005, 2007, 2009, 2011
Erp29	ENSMUST00000052590.7	endoplasmic reticulum protein 29 	77	1	1	0	0	0	0	0	0	2	mmu-miR-29a-3p	-0.67	-0.76	0.92	2007, 2009, 2011
Tbc1d13	ENSMUST00000044556.6	TBC1 domain family, member 13 	1424	1	0	1	0	0	0	0	0	2	mmu-miR-29b-3p	-0.67	-0.67	0.78	2005, 2007, 2009, 2011
Dnmt3a	ENSMUST00000020991.9	DNA methyltransferase 3A 	1717	3	1	1	1	3	1	2	0	7	mmu-miR-29c-3p	-0.66	-3.75	> 0.99	2005, 2007, 2009, 2011
Stag2	ENSMUST00000115073.3	stromal antigen 2 	3749	1	0	1	0	1	0	0	1	0	mmu-miR-29a-3p	-0.66	-1.01	0.88	2007, 2009, 2011
Ppic	ENSMUST00000025419.7	peptidylprolyl isomerase C 	1510	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.66	-0.69	0.92	2005, 2007, 2009, 2011
Gpr37	ENSMUST00000054867.6	G protein-coupled receptor 37 	7	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.66	-0.66	0.83	2005, 2007, 2009, 2011
Nrep	ENSMUST00000051087.9	neuronal regeneration related protein 	693	1	1	0	0	0	0	0	0	0	mmu-miR-29b-3p	-0.65	-0.66	0.91	2007, 2009, 2011
Sestd1	ENSMUST00000102660.2	SEC14 and spectrin domains 1 	260	2	2	0	0	3	0	3	0	0	mmu-miR-29a-3p	-0.65	-0.76	0.99	2005, 2007, 2009, 2011
Suv420h2	ENSMUST00000098853.3	suppressor of variegation 4-20 homolog 2 (Drosophila) 	450	2	1	0	1	0	0	0	0	0	mmu-miR-29a-3p	-0.64	-0.64	0.98	2005, 2009, 2011
Ccdc117	ENSMUST00000020776.4	coiled-coil domain containing 117 	586	1	0	1	0	0	0	0	0	2	mmu-miR-29a-3p	-0.64	-0.77	0.87	2007, 2009, 2011
Mex3b	ENSMUST00000082237.5	mex3 homolog B (C. elegans) 	9	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.64	-0.64	0.92	2007, 2011
Lmtk2	ENSMUST00000041804.7	lemur tyrosine kinase 2 	931	1	0	1	0	0	0	0	0	2	mmu-miR-29b-3p	-0.64	-0.64	0.74	2005, 2007, 2009, 2011
Adamts2	ENSMUST00000040523.8	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2 	244	2	0	2	0	2	0	2	0	3	mmu-miR-29b-3p	-0.63	-0.72	0.91	
Slc30a3	ENSMUST00000031037.8	solute carrier family 30 (zinc transporter), member 3 	7	2	0	2	0	0	0	0	0	0	mmu-miR-29a-3p	-0.63	-0.63	0.89	2005, 2007, 2009, 2011
Tet1	ENSMUST00000050826.8	tet methylcytosine dioxygenase 1 	33	5	1	3	1	3	0	3	0	2	mmu-miR-29b-3p	-0.63	-2.51	> 0.99	2007, 2011
Has3	ENSMUST00000034385.6	hyaluronan synthase 3 	30	2	1	1	0	1	0	1	0	2	mmu-miR-29a-3p	-0.63	-0.64	0.68	2005, 2007, 2009, 2011
Zdhhc21	ENSMUST00000030110.9	zinc finger, DHHC domain containing 21 	885	1	1	0	0	1	1	0	0	1	mmu-miR-29a-3p	-0.63	-0.65	0.90	2005, 2007, 2009, 2011
Fem1b	ENSMUST00000034775.8	feminization 1 homolog b (C. elegans) 	813	1	1	0	0	0	0	0	0	2	mmu-miR-29a-3p	-0.62	-0.64	0.93	2005, 2007, 2009, 2011
Mlf1	ENSMUST00000061322.8	myeloid leukemia factor 1 	5970	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.62	-0.69	< 0.1	2005, 2007, 2009, 2011
Col7a1	ENSMUST00000112070.2	collagen, type VII, alpha 1 	52	2	1	1	0	0	0	0	0	0	mmu-miR-29b-3p	-0.62	-0.62	0.91	2005, 2007, 2009, 2011
Tmem169	ENSMUST00000027380.6	transmembrane protein 169 	55	2	0	2	0	1	0	1	0	0	mmu-miR-29a-3p	-0.61	-0.80	0.93	2007, 2009, 2011
Psme4	ENSMUST00000041231.8	proteasome (prosome, macropain) activator subunit 4 	808	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.61	-0.62	0.53	2005, 2007, 2009, 2011
Traf4	ENSMUST00000017530.3	TNF receptor associated factor 4 	2393	2	0	1	1	0	0	0	0	0	mmu-miR-29a-3p	-0.61	-0.61	0.99	2005, 2007, 2009, 2011
Rnf13	ENSMUST00000041826.9	ring finger protein 13 	4649	1	0	1	0	1	0	0	1	0	mmu-miR-29a-3p	-0.61	-0.96	0.81	2007, 2009, 2011
Bak1	ENSMUST00000078691.6	BCL2-antagonist/killer 1 	55	1	1	0	0	0	0	0	0	1	mmu-miR-29a-3p	-0.61	-0.62	0.91	2005, 2007, 2009, 2011
Gpr156	ENSMUST00000061274.7	G protein-coupled receptor 156 	12	1	1	0	0	2	0	1	1	1	mmu-miR-29b-3p	-0.60	-0.60	0.21	2009, 2011
Gm9726	ENSMUST00000180321.1	predicted gene 9726 	14	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.60	-0.60	< 0.1	
Klhl28	ENSMUST00000021331.7	kelch-like 28 	187	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.60	-0.65	0.92	2007, 2009, 2011
Enho	ENSMUST00000127306.1	energy homeostasis associated 	1775	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.60	-0.60	0.51	2007, 2009, 2011
Smim17	ENSMUST00000160218.1	small integral membrane protein 17 	7	1	1	0	0	1	0	0	1	2	mmu-miR-29b-3p	-0.60	-0.60	< 0.1	2009, 2011
Cldn1	ENSMUST00000023154.2	claudin 1 	183	2	1	1	0	0	0	0	0	1	mmu-miR-29a-3p	-0.59	-0.69	0.76	2005, 2007, 2009, 2011
Pmp22	ENSMUST00000018361.4	peripheral myelin protein 22 	8938	1	1	0	0	1	1	0	0	0	mmu-miR-29a-3p	-0.59	-0.87	0.85	2005, 2007, 2009, 2011
Ireb2	ENSMUST00000034843.7	iron responsive element binding protein 2 	1630	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.59	-0.59	0.92	2005, 2007, 2009, 2011
Suv420h1	ENSMUST00000113977.3	suppressor of variegation 4-20 homolog 1 (Drosophila) 	632	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.59	-0.68	0.87	2005, 2009, 2011
Mtx3	ENSMUST00000076169.3	metaxin 3 	491	1	0	1	0	0	0	0	0	1	mmu-miR-29a-3p	-0.58	-0.62	0.82	2011
Rnf39	ENSMUST00000040498.6	ring finger protein 39 	215	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.58	-0.60	0.90	2005, 2007
Abcb6	ENSMUST00000027396.9	ATP-binding cassette, sub-family B (MDR/TAP), member 6 	585	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.58	-0.60	0.28	2005, 2007, 2009, 2011
Pgap2	ENSMUST00000120879.2	post-GPI attachment to proteins 2 	1356	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.57	-0.57	0.90	2009, 2011
Cbx6	ENSMUST00000109623.2	chromobox 6 	183	1	0	0	1	2	0	1	1	3	mmu-miR-29b-3p	-0.57	-0.58	0.86	2005, 2007, 2009, 2011
Ptp4a1	ENSMUST00000027232.8	protein tyrosine phosphatase 4a1 	153	1	1	0	0	0	0	0	0	1	mmu-miR-29a-3p	-0.57	-0.57	0.62	2005, 2007, 2009, 2011
Rnd3	ENSMUST00000154545.1	Rho family GTPase 3 	111	1	0	1	0	2	0	1	1	1	mmu-miR-29a-3p	-0.57	-0.70	0.65	2005, 2007, 2009, 2011
Wisp1	ENSMUST00000118823.1	WNT1 inducible signaling pathway protein 1 	499	1	0	1	0	1	1	0	0	0	mmu-miR-29b-3p	-0.57	-0.57	0.52	2009, 2011
Icos	ENSMUST00000102827.3	inducible T cell co-stimulator 	23	1	1	0	0	0	0	0	0	1	mmu-miR-29b-3p	-0.56	-0.56	0.71	2005, 2007, 2009, 2011
Zbtb34	ENSMUST00000113158.2	zinc finger and BTB domain containing 34 	575	2	1	1	0	2	0	1	1	2	mmu-miR-29b-3p	-0.56	-0.59	0.99	2009, 2011
Col4a1	ENSMUST00000033898.9	collagen, type IV, alpha 1 	5885	2	1	0	1	0	0	0	0	0	mmu-miR-29c-3p	-0.56	-0.60	0.98	2005, 2007, 2009, 2011
Lims1	ENSMUST00000020077.5	LIM and senescent cell antigen-like domains 1 	8422	1	0	1	0	1	0	1	0	0	mmu-miR-29a-3p	-0.56	-0.57	0.77	2009, 2011
Pi15	ENSMUST00000088476.3	peptidase inhibitor 15 	34	3	1	1	1	0	0	0	0	1	mmu-miR-29a-3p	-0.56	-1.00	> 0.99	2005, 2007, 2011
Tbx21	ENSMUST00000001484.2	T-box 21 	11	1	0	1	0	0	0	0	0	0	mmu-miR-29b-3p	-0.56	-0.56	0.79	2005, 2007, 2009, 2011
Pan2	ENSMUST00000005825.6	PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) 	97	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.55	-0.55	0.84	2007, 2009, 2011
Lox	ENSMUST00000171470.2	lysyl oxidase 	6524	2	0	2	0	1	0	1	0	1	mmu-miR-29a-3p	-0.55	-0.57	0.95	2009, 2011
Smtnl2	ENSMUST00000108500.2	smoothelin-like 2 	874	1	1	0	0	0	0	0	0	0	mmu-miR-29b-3p	-0.54	-0.56	0.91	2007, 2009, 2011
Eps15	ENSMUST00000102729.4	epidermal growth factor receptor pathway substrate 15 	2282	1	0	1	0	1	0	0	1	0	mmu-miR-29a-3p	-0.54	-0.61	0.65	2005, 2007, 2009, 2011
Slc19a3	ENSMUST00000045560.9	solute carrier family 19, member 3 	8	1	1	0	0	1	0	1	0	0	mmu-miR-29a-3p	-0.54	-0.54	< 0.1	2011
Dot1l	ENSMUST00000105336.3	DOT1-like, histone H3 methyltransferase (S. cerevisiae) 	448	2	0	1	1	1	0	1	0	5	mmu-miR-29b-3p	-0.53	-0.58	0.98	2009, 2011
Eomes	ENSMUST00000035020.9	eomesodermin homolog (Xenopus laevis) 	55	1	0	1	0	1	0	0	1	1	mmu-miR-29a-3p	-0.53	-0.56	0.81	2005, 2007, 2009, 2011
Tmem183a	ENSMUST00000049470.5	transmembrane protein 183A 	960	1	0	1	0	0	0	0	0	0	mmu-miR-29b-3p	-0.53	-0.69	0.88	2007, 2009, 2011
AI118078	ENSMUST00000085754.4	expressed sequence AI118078 	37	1	0	1	0	0	0	0	0	2	mmu-miR-29b-3p	-0.53	-0.53	0.39	2007, 2009, 2011
Grip1	ENSMUST00000041962.9	glutamate receptor interacting protein 1 	7	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.53	-0.53	0.90	2009, 2011
Ky	ENSMUST00000039390.5	kyphoscoliosis peptidase 	113	1	0	0	1	1	0	1	0	2	mmu-miR-29a-3p	-0.53	-0.60	0.93	2005, 2007, 2009, 2011
Kdelc1	ENSMUST00000065767.3	KDEL (Lys-Asp-Glu-Leu) containing 1 	811	1	0	1	0	0	0	0	0	0	mmu-miR-29b-3p	-0.53	-0.53	0.86	2005, 2007, 2009, 2011
Ybx3	ENSMUST00000032309.7	Y box protein 3 	3008	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.53	-0.60	0.93	2007, 2009, 2011
3110057O12Rik	ENSMUST00000159774.2	RIKEN cDNA 3110057O12 gene 	410	1	0	1	0	1	1	0	0	1	mmu-miR-29b-3p	-0.53	-0.75	0.78	
0610030E20Rik	ENSMUST00000077783.3	RIKEN cDNA 0610030E20 gene 	1246	1	1	0	0	2	0	2	0	0	mmu-miR-29a-3p	-0.52	-0.57	< 0.1	2011
Zfp36l1	ENSMUST00000021552.1	zinc finger protein 36, C3H type-like 1 	1389	1	1	0	0	0	0	0	0	0	mmu-miR-29b-3p	-0.52	-0.52	0.83	2005, 2007, 2009, 2011
Npffr1	ENSMUST00000020287.6	neuropeptide FF receptor 1 	2	1	0	1	0	0	0	0	0	1	mmu-miR-29a-3p	-0.52	-0.52	0.34	
Cav2	ENSMUST00000000058.6	caveolin 2 	4227	1	1	0	0	0	0	0	0	0	mmu-miR-29b-3p	-0.52	-0.55	0.82	2005, 2007, 2009, 2011
Col2a1	ENSMUST00000023123.9	collagen, type II, alpha 1 	5	1	1	0	0	0	0	0	0	0	mmu-miR-29b-3p	-0.52	-0.52	0.91	2005, 2007, 2009, 2011
Stmn2	ENSMUST00000029002.7	stathmin-like 2 	1778	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.52	-0.54	0.91	2009, 2011
Narf	ENSMUST00000103015.3	nuclear prelamin A recognition factor 	1634	1	1	0	0	0	0	0	0	2	mmu-miR-29a-3p	-0.52	-0.54	0.79	2009, 2011
Frat2	ENSMUST00000059231.2	frequently rearranged in advanced T cell lymphomas 2 	68	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.51	-0.53	0.79	2005, 2007, 2009, 2011
Map2k6	ENSMUST00000020949.6	mitogen-activated protein kinase kinase 6 	142	1	0	0	1	1	0	1	0	1	mmu-miR-29b-3p	-0.51	-0.91	0.93	2005, 2007, 2009, 2011
Zfp346	ENSMUST00000021937.6	zinc finger protein 346 	773	2	2	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.51	-0.51	> 0.99	2009, 2011
Brwd3	ENSMUST00000150434.2	bromodomain and WD repeat domain containing 3 	489	3	0	3	0	1	1	0	0	1	mmu-miR-29a-3p	-0.51	-0.93	0.96	2005, 2007, 2009, 2011
Hnrnpf	ENSMUST00000180341.1	heterogeneous nuclear ribonucleoprotein F 	53	1	0	0	1	0	0	0	0	0	mmu-miR-29b-3p	-0.50	-0.50	0.92	2007, 2009, 2011
C1qtnf6	ENSMUST00000023075.8	C1q and tumor necrosis factor related protein 6 	212	2	0	2	0	0	0	0	0	2	mmu-miR-29b-3p	-0.50	-0.50	0.92	2005, 2007, 2011
Col4a2	ENSMUST00000033899.8	collagen, type IV, alpha 2 	1325	2	0	2	0	0	0	0	0	0	mmu-miR-29a-3p	-0.50	-0.50	0.95	2005, 2007, 2009, 2011
Zfp36	ENSMUST00000051241.5	zinc finger protein 36 	247	1	0	1	0	1	0	1	0	0	mmu-miR-29b-3p	-0.50	-0.50	0.83	2005, 2007, 2009, 2011
Cacng4	ENSMUST00000021066.3	calcium channel, voltage-dependent, gamma subunit 4 	8	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.50	-0.50	0.66	2005, 2007
Islr2	ENSMUST00000114144.3	immunoglobulin superfamily containing leucine-rich repeat 2 	34	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.50	-0.50	0.90	2007, 2009, 2011
Clec2l	ENSMUST00000114874.3	C-type lectin domain family 2, member L 	19	2	0	2	0	0	0	0	0	0	mmu-miR-29b-3p	-0.50	-0.50	0.91	2009, 2011
Fbn1	ENSMUST00000028633.7	fibrillin 1 	243	2	1	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.50	-0.75	0.98	2005, 2007, 2009, 2011
Brwd1	ENSMUST00000113829.2	bromodomain and WD repeat domain containing 1 	547	1	1	0	0	1	0	1	0	0	mmu-miR-29a-3p	-0.50	-1.57	0.79	2005, 2007
Tfeb	ENSMUST00000086932.4	transcription factor EB 	786	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.50	-0.50	0.80	2005, 2007, 2009, 2011
Nckap5	ENSMUST00000094609.4	NCK-associated protein 5 	81	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.49	-0.53	0.67	2007, 2009, 2011
